Fatal_Accident_Index,Month_of_Accident,Hour_of_Accident,Longitude,Latitude,Pedestrian_Casualties,Pedal_Cycles,Motor_Cycles,Cars,Buses_or_Coaches,Vans,HGVs,Other_Vehicles,Total_Vehicles_Involved,Fatal_Casualties,Serious_Casualties,Slight_Casualties,Total_Number_of_Casualties
"2006030002674",September ,16,-2.69558,54.353577,0,0,0,2,0,0,0,0,2,1,1,2,4
"2006030002709",September ,07,-2.953215,54.176555,0,0,1,1,0,0,0,0,2,1,0,0,1
"2006030002725",August    ,04,-3.110033,54.179616,1,0,0,1,0,0,0,0,1,1,0,0,1
"2006030002757",September ,20,-3.128084,54.599628,0,1,0,0,0,0,0,0,1,1,0,0,1
"2006030002767",September ,18,-2.642893,54.329693,0,0,1,1,0,0,0,0,2,1,0,1,2
"2006030003041",October   ,01,-2.807639,54.739334,0,0,0,1,0,0,1,0,2,1,0,1,2
"2006030003110",October   ,10,-2.435394,54.556919,0,0,0,0,0,0,5,0,5,1,1,2,4
"2006030003274",November  ,12,-2.69438,54.683237,0,0,0,1,0,0,0,1,2,1,1,0,2
"2006030003372",November  ,21,-2.665395,54.285172,0,0,0,1,0,0,0,0,1,1,0,3,4
"2006030003619",December  ,08,-2.904476,54.196794,1,0,0,1,0,0,0,0,1,1,0,0,1
